Sl.No,Molecule_Smiles,Combination_Code
1,CO,F5
2,CCO,F2-F3
3,OCO,F3-F5
4,NCO,F6
5,OCF,F5-F12
6,OCC=O,F5-F9
7,OCCC,F2-F5
8,CCCO,F1-F1-F5
9,CC(O)C,F1-F5-F1
10,CNCO,F1-F6
11,CC(O)N,F1-F6
12,OCCN,F2-F4-F3
13,NCCO,F1-F4-F5
14,NC(O)N,F4-F6
15,OCCO,F5-F5
16,COCO,F5-F5
17,CC(O)O,F3-F5-F1
18,NC(O)O,F3-F6
19,CC(F)O,F5-F12-F1
20,OCCF,F1-F12-F5
21,OC(O)O,F3-F5-F3
22,FCCO,F2-F3-F12
23,NC(F)O,F6-F12
24,OCCl,F5-F11
25,OC(F)O,F5-F12-F3
26,OC(F)F,F5-F12-F12
27,CCCCO,F1-F2-F3-F1
28,CC(CC)O,F1-F2-F3-F1
29,OCCCC,F1-F2-F3-F1
30,CC(C=O)O,F5-F9-F1
31,CC(=O)CO,F5-F9-F1
32,OCCC=O,F1-F5-F9
33,OCC(C)C,F1-F1-F5-F1
34,CCC(O)C,F1-F1-F5-F1
35,CC(O)(C)C,F1-F5-F1-F1
36,O=CCCO,F2-F3-F9
37,OCNCC,F2-F6
38,NC(CC)O,F2-F6
39,OCNC=O,F6-F9
40,NC(C=O)O,F6-F9
41,NCCCO,F1-F2-F3-F4
42,OCCCN,F1-F2-F3-F4
43,CNCCO,F2-F4-F3-F1
44,CCNCO,F1-F1-F6
45,CCC(O)N,F1-F1-F6
46,NC(=O)CO,F5-F9-F4
47,OCN(C)C,F1-F6-F1
48,CNC(O)C,F1-F6-F1
49,CC(O)(N)C,F1-F6-F1
50,CC(CO)N,F1-F1-F5-F4
51,CC(CN)O,F1-F5-F1-F4
52,OCCCO,F1-F2-F3-F3
53,OC(CC)O,F1-F2-F3-F3
54,OCOCC,F2-F3-F1-F3
55,COCCO,F2-F3-F1-F3
56,NCNCO,F1-F4-F6
57,NCC(O)N,F1-F4-F6
58,CNC(O)N,F1-F4-F6
59,O=CC(O)O,F5-F9-F3
60,CC(O)(N)N,F4-F6-F1
61,OCC(O)C,F5-F5-F1
62,CCOCO,F5-F5-F1
63,COC(O)C,F5-F5-F1
64,CCC(O)O,F1-F1-F5-F3
65,CC(O)(O)C,F1-F5-F1-F3
66,OCC(N)N,F1-F4-F5-F4
67,OCNCO,F5-F6
68,OCC(O)N,F5-F6
69,NCOCO,F5-F6
70,COC(O)N,F5-F6
71,NC(O)(N)N,F4-F6-F4
72,CNC(O)O,F3-F6-F1
73,CC(O)(O)N,F3-F6-F1
74,NCC(O)O,F1-F4-F5-F3
75,FCCCO,F1-F2-F3-F12
76,OC(CC)F,F1-F2-F3-F12
77,OCCCF,F1-F2-F3-F12
78,OC(C=O)F,F5-F12-F9
79,OCC(=O)F,F5-F9-F12
80,NC(O)(O)N,F4-F6-F3
81,OCC(O)O,F5-F5-F3
82,OCOCO,F5-F5-F3
83,COC(O)O,F5-F5-F3
84,CC(CO)F,F1-F1-F5-F12
85,CCC(F)O,F1-F1-F5-F12
86,CC(CF)O,F1-F5-F1-F12
87,CC(F)(O)C,F1-F5-F1-F12
88,CC(O)(O)O,F3-F5-F1-F3
89,OCCCl,F1-F11-F5
90,OCOCF,F5-F12-F5
91,OCC(F)O,F5-F12-F5
92,COC(F)O,F5-F12-F5
93,NC(F)(O)N,F4-F6-F12
94,CC(Cl)O,F5-F11-F1
95,FCC(O)O,F3-F5-F1-F12
96,CC(F)(O)O,F3-F5-F1-F12
97,OC(O)(O)O,F3-F5-F3-F3
98,ClCCO,F2-F11-F3
99,OCNCF,F1-F12-F6
100,NC(CF)O,F1-F12-F6
101,NC(O)(O)O,F3-F6-F3
102,CNC(F)O,F6-F12-F1
103,CC(F)(O)N,F6-F12-F1
104,NC(CO)F,F1-F4-F5-F12
105,NCC(F)O,F1-F4-F5-F12
106,NC(Cl)O,F6-F11
107,NC(F)(O)O,F5-F12-F4-F3
108,OC(Cl)O,F5-F11-F3
109,FCC(F)O,F5-F12-F1-F12
110,CC(F)(F)O,F5-F12-F1-F12
111,OCC(F)F,F1-F12-F5-F12
112,OC(F)(O)O,F3-F5-F3-F12
113,NC(F)(F)O,F6-F12-F12
114,OC(Cl)F,F5-F12-F11
115,OC(F)(F)O,F5-F12-F3-F12
116,C1CC(CC1)O,F3-F17
117,OC(F)(F)F,F5-F12-F12-F12
118,CCCCCO,F2-F2-F1-F3
119,OCCCCC,F2-F2-F1-F3
120,OC(CC)CC,F1-F2-F2-F3
121,OCC(=O)C=O,F9-F9-F5
122,O=CC(C=O)O,F5-F9-F9
123,O=CCCCO,F1-F2-F3-F9
124,O=CC(CC)O,F1-F2-F3-F9
125,OCCCC=O,F1-F2-F3-F9
126,OCC(CC)C,F1-F2-F1-F5
127,OCC(=O)CC,F5-F9-F2
128,CCC(C=O)O,F5-F9-F1-F1
129,O=CC(O)(C)C,F5-F9-F1-F1
130,CC(=O)C(O)C,F5-F9-F1-F1
131,CCC(=O)CO,F5-F9-F1-F1
132,CC(CC=O)O,F1-F5-F9-F1
133,CC(C=O)CO,F1-F5-F9-F1
134,CC(=O)CCO,F1-F5-F9-F1
135,CCC(CC)O,F1-F1-F5-F2
136,CC(CCC)O,F1-F5-F1-F2
137,CCC(O)(C)C,F1-F5-F1-F2
138,NCCCCO,F2-F2-F4-F3
139,CCNCCO,F2-F4-F2-F3
140,O=CNCCO,F2-F4-F3-F9
141,OCNCCC,F2-F4-F1-F5
142,OCCCCN,F2-F4-F1-F5
143,OCCNCC,F2-F4-F1-F5
